"yearID","R","RA","G","leagueRPG","leagueRAPG"
1901,11068,11068,2220,4.99,4.99
1902,9883,9883,2230,4.43,4.43
1903,9892,9892,2228,4.44,4.44
1904,9307,9307,2498,3.73,3.73
1905,9640,9640,2474,3.9,3.9
1906,8883,8883,2456,3.62,3.62
1907,8698,8698,2466,3.53,3.53
1908,8423,8423,2488,3.39,3.39
1909,8805,8805,2482,3.55,3.55
1910,9580,9580,2498,3.84,3.84
1911,11164,11164,2474,4.51,4.51
1912,11154,11154,2464,4.53,4.53
1913,9964,9964,2468,4.04,4.04
1914,9408,9408,2512,3.75,3.75
1915,9444,9444,2490,3.79,3.79
1916,8889,8889,2494,3.56,3.56
1917,8948,8948,2494,3.59,3.59
1918,7385,7385,2032,3.63,3.63
1919,8657,8657,2236,3.87,3.87
1920,10762,10762,2468,4.36,4.36
1921,11935,11935,2458,4.86,4.86
1922,12059,12059,2476,4.87,4.87
1923,11874,11874,2466,4.82,4.82
1924,11722,11722,2462,4.76,4.76
1925,12596,12596,2456,5.13,5.13
1926,11443,11443,2468,4.64,4.64
1927,11745,11745,2472,4.75,4.75
1928,11645,11645,2462,4.73,4.73
1929,12747,12747,2458,5.19,5.19
1930,13695,13695,2468,5.55,5.55
1931,11892,11892,2472,4.81,4.81
1932,12116,12116,2466,4.91,4.91
1933,10988,10988,2452,4.48,4.48
1934,12000,12000,2446,4.91,4.91
1935,12026,12026,2456,4.9,4.9
1936,12846,12846,2476,5.19,5.19
1937,12070,12070,2478,4.87,4.87
1938,11969,11969,2446,4.89,4.89
1939,11876,11876,2462,4.82,4.82
1940,11568,11568,2472,4.68,4.68
1941,11168,11168,2488,4.49,4.49
1942,9995,9995,2448,4.08,4.08
1943,9694,9694,2476,3.92,3.92
1944,10353,10353,2484,4.17,4.17
1945,10286,10286,2460,4.18,4.18
1946,9953,9953,2484,4.01,4.01
1947,10827,10827,2486,4.36,4.36
1948,11328,11328,2474,4.58,4.58
1949,11426,11426,2480,4.61,4.61
1950,12013,12013,2476,4.85,4.85
1951,11268,11268,2478,4.55,4.55
1952,10349,10349,2478,4.18,4.18
1953,11426,11426,2480,4.61,4.61
1954,10827,10827,2474,4.38,4.38
1955,11069,11069,2468,4.49,4.49
1956,11031,11031,2478,4.45,4.45
1957,10636,10636,2470,4.31,4.31
1958,10578,10578,2470,4.28,4.28
1959,10853,10853,2476,4.38,4.38
1960,10664,10664,2472,4.31,4.31
1961,12942,12942,2860,4.53,4.53
1962,14461,14461,3242,4.46,4.46
1963,12780,12780,3238,3.95,3.95
1964,13124,13124,3252,4.04,4.04
1965,12946,12946,3246,3.99,3.99
1966,12900,12900,3230,3.99,3.99
1967,12210,12210,3240,3.77,3.77
1968,11109,11109,3250,3.42,3.42
1969,15850,15850,3892,4.07,4.07
1970,16880,16880,3888,4.34,4.34
1971,15073,15073,3876,3.89,3.89
1972,13706,13706,3718,3.69,3.69
1973,16376,16376,3886,4.21,4.21
1974,16046,16046,3890,4.12,4.12
1975,16295,16295,3868,4.21,4.21
1976,15492,15492,3878,3.99,3.99
1977,18803,18803,4206,4.47,4.47
1978,17251,17251,4204,4.1,4.1
1979,18713,18713,4198,4.46,4.46
1980,18053,18053,4210,4.29,4.29
1981,11147,11147,2788,4,4
1982,18110,18110,4214,4.3,4.3
1983,18170,18170,4218,4.31,4.31
1984,17921,17921,4210,4.26,4.26
1985,18216,18216,4206,4.33,4.33
1986,18545,18545,4206,4.41,4.41
1987,19883,19883,4210,4.72,4.72
1988,17380,17380,4200,4.14,4.14
1989,17405,17405,4212,4.13,4.13
1990,17919,17919,4210,4.26,4.26
1991,18127,18127,4208,4.31,4.31
1992,17341,17341,4212,4.12,4.12
1993,20864,20864,4538,4.6,4.6
1994,15752,15752,3200,4.92,4.92
1995,19554,19554,4034,4.85,4.85
1996,22831,22831,4534,5.04,5.04
1997,21604,21604,4532,4.77,4.77
1998,23297,23297,4864,4.79,4.79
1999,24691,24691,4856,5.08,5.08
2000,24971,24971,4858,5.14,5.14
2001,23199,23199,4858,4.78,4.78
2002,22408,22408,4852,4.62,4.62
2003,22978,22978,4860,4.73,4.73
2004,23376,23376,4856,4.81,4.81
2005,22325,22325,4862,4.59,4.59
2006,23599,23599,4858,4.86,4.86
2007,23322,23322,4862,4.8,4.8
2008,22585,22585,4856,4.65,4.65
2009,22419,22419,4860,4.61,4.61
2010,21308,21308,4860,4.38,4.38
2011,20808,20808,4858,4.28,4.28
2012,21017,21017,4860,4.32,4.32
2013,20255,20255,4862,4.17,4.17
2014,19761,19761,4860,4.07,4.07
