yearID,R,RA,G,leagueRPG,leagueRAPG
1901,11067,11067,2190,5.05,5.05
1902,9901,9901,2186,4.53,4.53
1903,9892,9892,2198,4.5,4.5
1904,9305,9305,2440,3.81,3.81
1905,9639,9639,2436,3.96,3.96
1906,8881,8878,2416,3.68,3.67
1907,8703,8703,2406,3.62,3.62
1908,8422,8422,2456,3.43,3.43
1909,8810,8810,2436,3.62,3.62
1910,9584,9584,2446,3.92,3.92
1911,11164,11164,2436,4.58,4.58
1912,11154,11154,2438,4.58,4.58
1913,9964,9964,2426,4.11,4.11
1914,9408,9408,2456,3.83,3.83
1915,9444,9444,2444,3.86,3.86
1916,8889,8889,2454,3.62,3.62
1917,8948,8948,2450,3.65,3.65
1918,7385,7385,2012,3.67,3.67
1919,8657,8657,2226,3.89,3.89
1920,10762,10762,2456,4.38,4.38
1921,11935,11935,2452,4.87,4.87
1922,12059,12059,2462,4.9,4.9
1923,11874,11874,2452,4.84,4.84
1924,11722,11722,2448,4.79,4.79
1925,12596,12596,2448,5.15,5.15
1926,11443,11443,2444,4.68,4.68
1927,11745,11745,2456,4.78,4.78
1928,11645,11645,2454,4.75,4.75
1929,12747,12747,2442,5.22,5.22
1930,13695,13695,2464,5.56,5.56
1931,11892,11892,2454,4.85,4.85
1932,12116,12116,2456,4.93,4.93
1933,10988,10988,2432,4.52,4.52
1934,12000,12000,2430,4.94,4.94
1935,12026,12026,2438,4.93,4.93
1936,12846,12846,2456,5.23,5.23
1937,12070,12070,2452,4.92,4.92
1938,11969,11969,2414,4.96,4.96
1939,11876,11876,2442,4.86,4.86
1940,11568,11568,2456,4.71,4.71
1941,11168,11168,2462,4.54,4.54
1942,9995,9995,2430,4.11,4.11
1943,9694,9694,2454,3.95,3.95
1944,10353,10353,2462,4.21,4.21
1945,10286,10286,2436,4.22,4.22
1946,9953,9953,2466,4.04,4.04
1947,10827,10827,2464,4.39,4.39
1948,11328,11328,2460,4.6,4.6
1949,11426,11426,2464,4.64,4.64
1950,12013,12013,2460,4.88,4.88
1951,11268,11268,2470,4.56,4.56
1952,10349,10349,2462,4.2,4.2
1953,11426,11426,2458,4.65,4.65
1954,10827,10827,2464,4.39,4.39
1955,11069,11069,2462,4.5,4.5
1956,11031,11031,2464,4.48,4.48
1957,10636,10636,2460,4.32,4.32
1958,10578,10578,2462,4.3,4.3
1959,10853,10853,2468,4.4,4.4
1960,10664,10664,2464,4.33,4.33
1961,12942,12942,2846,4.55,4.55
1962,14461,14461,3236,4.47,4.47
1963,12780,12780,3236,3.95,3.95
1964,13124,13124,3240,4.05,4.05
1965,12946,12946,3238,4,4
1966,12900,12900,3226,4,4
1967,12210,12210,3234,3.78,3.78
1968,11109,11109,3238,3.43,3.43
1969,15850,15850,3886,4.08,4.08
1970,16880,16880,3886,4.34,4.34
1971,15073,15073,3874,3.89,3.89
1972,13706,13706,3716,3.69,3.69
1973,16376,16376,3884,4.22,4.22
1974,16046,16046,3882,4.13,4.13
1975,16295,16295,3866,4.21,4.21
1976,15492,15492,3878,3.99,3.99
1977,18803,18803,4206,4.47,4.47
1978,17251,17251,4204,4.1,4.1
1979,18713,18713,4194,4.46,4.46
1980,18053,18053,4202,4.3,4.3
1981,11147,11147,2778,4.01,4.01
1982,18110,18110,4212,4.3,4.3
1983,18170,18170,4212,4.31,4.31
1984,17921,17921,4208,4.26,4.26
1985,18216,18216,4202,4.34,4.34
1986,18545,18545,4204,4.41,4.41
1987,19883,19883,4210,4.72,4.72
1988,17380,17380,4196,4.14,4.14
1989,17405,17405,4206,4.14,4.14
1990,17919,17919,4210,4.26,4.26
1991,18127,18127,4208,4.31,4.31
1992,17341,17341,4212,4.12,4.12
1993,20864,20864,4536,4.6,4.6
1994,15752,15752,3198,4.93,4.93
1995,19554,19554,4032,4.85,4.85
1996,22831,22831,4532,5.04,5.04
1997,21604,21604,4532,4.77,4.77
1998,23297,23297,4860,4.79,4.79
1999,24691,24691,4854,5.09,5.09
2000,24971,24971,4856,5.14,5.14
2001,23199,23199,4856,4.78,4.78
2002,22408,22408,4850,4.62,4.62
2003,22978,22978,4858,4.73,4.73
2004,23376,23376,4856,4.81,4.81
2005,22325,22325,4860,4.59,4.59
2006,23599,23599,4858,4.86,4.86
2007,23322,23322,4862,4.8,4.8
2008,22585,22585,4856,4.65,4.65
2009,22419,22419,4860,4.61,4.61
2010,21308,21308,4860,4.38,4.38
2011,20808,20808,4858,4.28,4.28
2012,21017,21017,4860,4.32,4.32
2013,20255,20255,4862,4.17,4.17
2014,19761,19761,4860,4.07,4.07
2015,20647,20647,4858,4.25,4.25
2016,21744,21744,4854,4.48,4.48
2017,22582,22582,4860,4.65,4.65
2018,21630,21630,4862,4.45,4.45
2019,23467,23467,4858,4.83,4.83
